"grain","abu","sp1","sp2","sp3","sp4","sp5","sp6","sp7","sp8","sp9","sp10","sp11","sp12","sp13","sp14","sp15","sp16","sp17","sp18","sp19","sp20","sp21","sp22","sp23","sp24","sp25","sp26","sp27","sp28","sp29","sp30","sp31","sp32","sp33","sp34","sp35","sp36","sp37","sp38","sp39","sp40","sp41","sp42","sp43","sp44","sp45","sp46","sp47","sp48","sp49","sp50","sp51","sp52","sp53","sp54","sp55","sp56","sp57","sp58","sp59","sp60","sp61","sp62","sp63","sp64","sp65","sp66","sp67","sp68","sp69","sp70","sp71","sp72","sp73","sp74","sp75","sp76","sp77","sp78","sp79","sp80","sp81","sp82","sp83","sp84","sp85","sp86","sp87","sp88","sp89","sp90","sp91","sp92","sp93","sp94","sp95","sp96","sp97","sp98","sp99","sp100","sp101","sp102","sp103","sp104","sp105","sp106","sp107","sp108","sp109","sp110","sp111","sp112","sp113","sp114","sp115","sp116","sp117","sp118","sp119","sp120","sp121","sp122","sp123","sp124","sp125","sp126","sp127","sp128","sp129","sp130","sp131","sp132","sp133","sp134","sp135","sp136","sp137","sp138","sp139","sp140","sp141","sp142","sp143","sp144","sp145","sp146","sp147","sp148","sp149","sp150","sp151","sp152","sp153","sp154","sp155","sp156","sp157","sp158","sp159","sp160","sp161","sp162","sp163","sp164","sp165","sp166","sp167","sp168","sp169","sp170","sp171","sp172","sp173","sp174","sp175","sp176","sp177","sp178","sp179","sp180","sp181","sp182","sp183","sp184","sp185","sp186","sp187","sp188","sp189","sp190","sp191","sp192","sp193","sp194","sp195","sp196","sp197","sp198","sp199","sp200","sp201","sp202","sp203","sp204","sp205","sp206","sp207","sp208","sp209","sp210","sp211","sp212","sp213","sp214","sp215","sp216","sp217","sp218","sp219","sp220","sp221","sp222","sp223","sp224","sp225","sp226","sp227","sp228","sp229","sp230","sp231","sp232","sp233","sp234","sp235","sp236","sp237","sp238","sp239","sp240","sp241","sp242","sp243","sp244","sp245","sp246","sp247","sp248","sp249","sp250","sp251","sp252","sp253","sp254","sp255","sp256","sp257","sp258","sp259","sp260","sp261","sp262","sp263","sp264","sp265","sp266","sp267","sp268","sp269","sp270","sp271","sp272","sp273","sp274","sp275","sp276","sp277","sp278","sp279","sp280","sp281","sp282","sp283","sp284","sp285","sp286","sp287","sp288","sp289","sp290","sp291","sp292","sp293","sp294","sp295","sp296","sp297","sp298","sp299","sp300","sp301"
244.14,0,2032,2038,1605,2025,1948,2013,1830,2047,1726,1948,268,2033,2024,2028,1815,1740,1941,1787,2006,2041,2047,2043,2036,1966,1703,1906,1955,2016,2045,2039,2011,1176,2047,1394,2045,1370,2047,875,1681,1932,2029,2036,1929,1303,2018,1617,2036,1897,2036,1990,1944,2047,2007,2044,1845,2046,1748,1484,1898,1984,2019,2039,1929,1794,2046,2044,2046,1965,1914,1570,1278,1186,2045,1793,2040,1994,1965,1336,1975,57,1952,1998,1209,2033,2036,1985,1792,1944,1577,1017,1638,1114,12,2043,2046,2041,2035,2042,2041,2046,2046,2026,2042,385,1722,1983,1904,1478,1984,1016,1440,1981,1828,1693,1961,1917,1730,1959,1408,1607,1951,2029,2047,498,1956,49,1591,1998,1797,1992,1599,1598,2045,1941,2005,2042,1877,2028,1876,1445,1797,1209,1950,2022,1760,2043,2047,1939,1842,2003,1566,2047,1874,2047,1987,2020,1217,2046,2041,1974,1781,1684,2046,2038,1989,2040,1824,2044,1641,261,2000,2035,1917,2047,1899,1992,1988,2040,1812,1866,1903,1856,1099,2047,2047,1952,1949,1335,2047,2038,1603,1794,1899,1341,2029,2030,2039,2002,2038,1937,2045,1910,1953,1981,1473,1954,2045,1244,1990,1434,2041,1533,829,882,2008,1999,2034,2046,2033,2045,2013,2019,2011,2047,1071,2019,1608,2041,2047,1222,995,1957,1324,2047,1664,2047,2047,2008,2026,1927,1117,2026,1781,1697,1752,2040,2043,1995,2045,817,2045,1965,1863,1998,1508,229,1926,1991,1853,1018,1036,1512,1699,2010,1976,537,2043,2033,2013,2040,1982,2016,2030,2047,2047,1676,246,2046,1866,1949,1842,1975,1585,2035,2047,2047,2047,2010,1204,1889,2018,2043,2046,2026,1410,2010,1970,1886,1880,2047,2021
244.14,1,14,8,239,14,76,32,163,1,261,93,361,12,20,1,219,235,83,214,35,6,0,4,10,64,264,133,72,32,3,8,14,426,1,483,3,341,1,583,309,106,15,11,113,532,26,213,11,92,12,50,101,0,40,4,117,1,238,447,132,62,25,8,112,209,2,4,0,70,102,340,541,450,3,145,8,48,74,446,66,130,89,43,379,11,11,62,233,98,375,583,343,506,36,5,2,7,11,4,7,2,2,21,6,497,263,63,124,453,62,588,434,60,197,257,74,103,255,84,453,369,77,17,1,521,84,47,351,48,222,54,292,374,2,84,36,4,154,20,135,485,175,573,94,25,219,5,1,91,171,41,358,1,148,1,44,21,528,2,2,73,181,226,2,9,52,6,137,4,332,360,43,10,111,1,119,47,58,7,200,138,133,110,516,1,1,86,96,446,1,5,223,220,99,490,14,17,9,42,9,95,3,118,86,63,330,64,2,587,55,330,5,393,539,549,37,42,14,1,14,2,32,15,28,1,481,21,277,7,1,560,484,78,555,1,77,1,0,40,22,96,569,22,222,273,171,8,5,42,3,632,1,66,130,46,428,388,97,51,166,604,515,405,215,27,52,458,4,14,26,8,58,21,13,0,1,298,254,2,154,77,194,61,345,11,0,1,1,33,569,126,23,5,2,14,307,34,70,109,126,1,25
244.14,2,2,0,78,3,14,3,32,0,46,7,286,2,4,1,13,43,18,41,5,1,1,0,1,15,55,8,18,0,0,1,6,199,0,138,0,128,0,299,50,6,4,1,6,149,3,99,1,36,0,8,1,1,1,0,36,0,43,95,17,1,4,1,6,38,0,0,1,11,18,99,163,193,0,43,0,6,7,155,7,206,7,7,174,3,1,1,20,6,68,244,53,243,60,0,0,0,1,2,0,0,0,1,0,421,53,2,18,95,2,258,124,5,21,48,8,16,47,5,143,55,16,2,0,369,7,57,77,1,25,2,94,68,1,18,5,2,16,0,26,102,57,158,4,1,40,0,0,11,28,3,100,0,19,0,14,5,190,0,2,1,56,66,0,1,5,2,47,0,63,379,5,3,16,0,23,7,2,0,33,30,10,47,243,0,0,10,3,152,0,3,74,25,36,147,3,0,0,2,1,15,0,15,6,4,143,23,1,158,3,137,1,95,252,250,3,6,0,1,1,1,3,6,6,0,212,4,96,0,0,196,292,8,135,0,47,0,1,0,0,20,220,0,37,67,55,0,0,8,0,347,0,11,38,4,88,441,17,5,22,257,260,106,55,9,16,347,1,1,1,0,7,6,5,1,0,60,278,0,23,16,8,9,91,2,1,0,0,4,177,30,3,0,0,6,119,4,8,35,22,0,2
244.14,3,0,0,48,3,6,0,9,0,10,0,270,1,0,2,1,8,4,4,1,0,0,1,1,2,14,1,2,0,0,0,2,115,0,20,0,72,0,149,7,2,0,0,0,44,0,51,0,8,0,0,2,0,0,0,15,1,12,18,1,1,0,0,1,5,0,0,0,1,8,25,45,71,0,27,0,0,1,68,0,263,0,0,110,1,0,0,3,0,21,97,10,86,81,0,0,0,1,0,0,0,0,0,0,281,9,0,2,19,0,99,35,2,2,8,1,4,13,0,27,17,3,0,0,245,1,62,25,1,3,0,36,5,0,4,1,0,1,0,7,9,10,81,0,0,15,0,0,4,6,0,14,0,5,0,1,2,79,0,1,0,17,38,0,0,1,0,24,0,11,283,0,0,4,0,1,1,0,0,3,9,2,14,87,0,0,0,0,65,0,1,52,8,7,38,2,1,0,2,0,1,0,3,3,0,54,4,0,42,0,56,0,17,169,151,0,1,0,0,0,0,0,4,2,0,102,1,31,0,0,46,147,5,30,0,51,0,0,0,0,3,69,0,7,9,29,0,0,2,0,151,1,3,10,0,21,345,7,1,7,97,101,15,36,2,2,246,0,0,1,0,0,3,0,0,0,11,230,0,4,4,4,0,17,0,0,0,0,1,70,3,0,0,0,1,68,0,0,7,15,0,0
244.14,4,0,0,28,1,2,0,8,0,4,0,208,0,0,1,0,10,1,0,1,0,0,0,0,0,11,0,0,0,0,0,4,53,0,11,0,36,0,75,1,2,0,0,0,8,0,29,0,6,0,0,0,0,0,0,7,0,4,3,0,0,0,0,0,1,0,0,0,0,1,10,12,48,0,10,0,0,1,30,0,276,0,0,64,0,0,0,0,0,7,48,2,44,84,0,0,0,0,0,0,0,0,0,0,173,0,0,0,3,0,43,7,0,0,10,1,2,2,0,15,0,0,0,0,151,0,94,2,0,1,0,11,2,0,0,0,0,0,0,1,6,6,18,0,0,11,0,0,1,0,0,4,0,0,0,0,0,27,0,1,0,6,15,0,0,0,0,9,0,1,218,0,0,0,0,4,1,0,1,0,5,0,8,44,0,0,0,0,28,0,1,41,1,4,16,0,0,0,0,0,0,0,0,0,0,21,0,0,13,0,26,1,8,110,62,0,0,0,0,0,0,0,1,0,0,62,1,16,0,0,19,56,0,3,0,34,0,0,0,0,0,34,0,1,2,19,0,0,1,0,58,0,0,4,0,1,257,1,0,0,39,62,9,18,0,1,165,0,0,2,0,0,1,0,0,0,3,209,0,1,2,0,2,5,0,0,0,0,0,18,0,1,0,0,0,43,0,0,3,2,0,0
244.14,5,0,0,22,0,1,0,4,0,0,0,159,0,0,1,0,4,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,31,0,2,0,39,0,29,0,0,0,0,0,4,1,15,0,0,0,0,0,0,0,0,5,0,3,1,0,0,0,0,0,1,0,0,1,1,3,2,5,35,0,9,0,0,0,4,0,303,0,0,37,0,0,0,0,0,0,31,1,19,110,0,0,0,0,0,0,0,0,0,0,107,1,0,0,0,0,17,5,0,0,6,0,2,0,0,1,0,0,0,0,107,0,98,2,0,0,0,3,1,0,0,0,0,0,0,2,1,2,9,0,0,1,0,0,0,1,1,3,0,1,0,2,0,6,0,0,0,2,6,0,0,1,0,3,0,0,162,0,0,0,0,0,0,0,0,0,0,0,7,17,0,0,0,0,13,0,0,19,0,2,8,0,0,0,0,0,0,0,1,0,0,13,2,0,4,0,30,0,1,55,41,0,0,0,0,0,0,0,0,0,0,40,0,7,0,0,5,33,0,1,0,31,0,0,0,0,0,23,0,0,0,4,0,0,0,0,25,1,1,2,0,1,156,0,0,0,19,19,1,11,0,1,101,0,0,2,0,0,0,0,0,0,0,133,0,0,0,0,1,2,0,0,0,0,0,8,0,1,0,0,0,29,0,0,3,1,0,0
244.14,6,0,1,9,0,0,0,1,0,1,0,123,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,18,0,18,0,0,0,0,0,2,0,9,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,21,0,3,0,0,0,6,0,186,0,0,26,0,0,0,0,0,0,14,0,13,112,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,12,2,0,0,5,0,3,1,0,1,0,1,0,0,52,0,98,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,4,0,0,135,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,4,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,10,0,0,41,30,0,0,0,0,0,0,0,1,0,0,18,0,5,0,0,0,19,0,0,0,22,0,0,0,0,0,12,0,0,0,7,0,0,0,0,12,0,1,0,0,1,109,0,0,0,6,24,0,4,0,0,64,0,0,0,0,1,0,0,0,0,0,121,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,28,0,0,1,0,0,0
244.14,7,0,0,6,1,1,0,1,0,0,0,101,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,0,13,0,0,0,0,0,2,0,5,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,14,0,2,0,0,0,0,0,173,0,0,15,0,0,0,0,0,0,3,0,2,135,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,6,1,0,0,6,1,0,0,0,0,0,0,0,0,43,0,119,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,2,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,6,0,0,20,26,0,0,0,0,0,0,0,1,0,0,15,0,6,0,0,0,10,0,0,0,15,0,0,0,0,1,2,0,0,0,3,0,0,0,0,4,0,0,0,0,0,57,0,0,0,5,16,0,3,0,0,43,0,0,1,0,0,1,0,0,0,0,105,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11,0,0,2,1,0,0
244.14,8,0,0,5,1,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,3,0,4,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,3,0,122,0,0,15,0,0,0,0,0,0,1,1,8,134,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,22,0,119,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,56,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,12,17,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,4,0,0,0,18,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,35,0,0,0,2,5,0,1,0,0,25,0,0,1,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
244.14,9,0,0,1,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,8,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,104,0,0,6,0,0,0,0,0,0,3,0,5,119,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,85,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,8,14,0,0,0,0,0,0,0,1,1,0,12,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,1,3,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0
